[17:10:16] [info] HAZEL: Creating window Hazelnut (1600, 900)
[17:10:16] [info] HAZEL: OpenGL Info:
[17:10:16] [info] HAZEL:   Vendor: NVIDIA Corporation
[17:10:16] [info] HAZEL:   Renderer: NVIDIA GeForce GTX 1070/PCIe/SSE2
[17:10:16] [info] HAZEL:   Version: 4.6.0 NVIDIA 531.18
[17:10:47] [warning] HAZEL: Pixel data = 1036831949
[17:10:47] [warning] HAZEL: Pixel data = 1036831949
[17:10:47] [warning] HAZEL: Pixel data = 1036831949
[17:10:47] [warning] HAZEL: Pixel data = 1036831949
[17:10:47] [warning] HAZEL: Pixel data = 1036831949
[17:10:47] [warning] HAZEL: Pixel data = 1036831949
[17:10:47] [warning] HAZEL: Pixel data = 1036831949
[17:10:47] [warning] HAZEL: Pixel data = 1036831949
[17:10:47] [warning] HAZEL: Pixel data = 1036831949
[17:10:47] [warning] HAZEL: Pixel data = 1036831949
[17:10:47] [warning] HAZEL: Pixel data = 1036831949
[17:10:47] [warning] HAZEL: Pixel data = 1036831949
[17:10:47] [warning] HAZEL: Pixel data = 1036831949
[17:10:47] [warning] HAZEL: Pixel data = 1036831949
[17:10:47] [warning] HAZEL: Pixel data = 1036831949
[17:10:47] [warning] HAZEL: Pixel data = 1036831949
[17:10:47] [warning] HAZEL: Pixel data = 1036831949
[17:10:47] [warning] HAZEL: Pixel data = 1036831949
[17:10:47] [warning] HAZEL: Pixel data = 1036831949
[17:10:47] [warning] HAZEL: Pixel data = 1036831949
[17:10:47] [warning] HAZEL: Pixel data = 1036831949
